iter	CrossEntropy
0	0.3906546599
1	0.3803292366
2	0.374796808
3	0.3617939045
4	0.3617899638
5	0.3612872799
6	0.358492508
7	0.3461327872
8	0.3457528741
9	0.3392590396
10	0.3359032355
11	0.3359019003
12	0.3318946079
13	0.3318933553
14	0.3254027143
15	0.3242863795
16	0.3222523445
17	0.3191959829
18	0.3166349722
19	0.3161652827
20	0.315790346
21	0.3138343818
22	0.3138340941
23	0.3112436741
24	0.3088967274
25	0.3070146389
26	0.3052896236
27	0.3052895087
28	0.3036687609
29	0.3017518761
30	0.3013009796
31	0.2976821335
32	0.2974382312
33	0.2970575601
34	0.2970362255
35	0.2968406603
36	0.2928072818
37	0.2919936558
38	0.2731293559
39	0.2730771576
40	0.2730764275
41	0.2723759744
42	0.2717185394
43	0.2716950159
44	0.2703848626
45	0.2679257491
46	0.2676852762
47	0.2653901914
48	0.2642610817
49	0.2636759839
50	0.2623972671
51	0.2620218329
52	0.2610338509
53	0.2610339526
54	0.2600981652
55	0.2589936213
56	0.2579189557
57	0.257660293
58	0.2575901434
59	0.2573551683
60	0.257183179
61	0.2566738691
62	0.2562486985
63	0.2551604438
64	0.2550021485
65	0.2540291144
66	0.2527446525
67	0.2523547569
68	0.2522085882
69	0.2521856487
70	0.2521418402
71	0.252014519
72	0.2516084042
73	0.2516083032
74	0.2506205153
75	0.250620361
76	0.2503828095
77	0.2499112888
78	0.2494439043
79	0.2491423577
80	0.2491423197
81	0.2491423177
82	0.2487244085
83	0.2487243382
84	0.2478493421
85	0.2477605709
86	0.2477604524
87	0.2477138645
88	0.2476901026
89	0.2471203503
90	0.2471202547
91	0.2461893013
92	0.2460317482
93	0.2458962922
94	0.2458950846
95	0.2453265019
96	0.2447752221
97	0.2445463453
98	0.2441292517
99	0.2441292132
100	0.2416473869
101	0.2415133467
102	0.2409731901
103	0.2406073834
104	0.2405201282
105	0.2404157006
106	0.240234025
107	0.2402315852
108	0.2401298435
109	0.239869091
110	0.2391103021
111	0.239058573
112	0.2388481675
113	0.2385226807
114	0.2383973227
115	0.2379476479
116	0.2376864854
117	0.2370896583
118	0.237038339
119	0.2368243322
120	0.2367748272
121	0.2366338261
122	0.2360434516
123	0.2357805392
124	0.2356119974
125	0.2351639383
126	0.235138727
127	0.2351044959
128	0.2350246557
129	0.2350245078
130	0.2350100477
131	0.2349350861
132	0.2349349999
133	0.2346786566
134	0.2346242392
135	0.2345190928
136	0.2341518359
137	0.234149737
138	0.2339666637
139	0.2337414992
140	0.2337415534
141	0.2336846697
142	0.2334653401
143	0.2332521072
144	0.2331495378
145	0.233069451
146	0.2324611298
147	0.2320735515
148	0.2318103171
149	0.2317693495
150	0.2317628915
151	0.2317627841
152	0.2317627412
153	0.2314342864
154	0.231349015
155	0.2312759622
156	0.231073387
157	0.2310732635
158	0.230668054
159	0.2306045303
160	0.230479556
161	0.2304358225
162	0.2304357794
163	0.2302571171
164	0.2302417421
165	0.2300467909
166	0.2296316898
167	0.2296236032
168	0.2296234985
169	0.2296203867
170	0.2294069996
171	0.229274914
172	0.2292238436
173	0.229173354
174	0.2287834344
175	0.2287456241
176	0.2285952499
177	0.2285951818
178	0.2284212348
179	0.2283492162
180	0.2277356972
181	0.227735633
182	0.2275661192
183	0.2273101915
184	0.2271874633
185	0.2271171779
186	0.2267346257
187	0.2264963385
188	0.2264726872
189	0.2263911464
190	0.2262924556
191	0.2261912888
192	0.2261675935
193	0.225999225
194	0.2259066684
195	0.2255470876
196	0.2255471149
197	0.2254333525
198	0.2253614673
199	0.225298621
200	0.2252986668
201	0.2250431433
202	0.2248342204
203	0.2246119495
204	0.2245499245
205	0.2242892857
206	0.2242724561
207	0.2242705855
208	0.2242703427
209	0.2242703429
210	0.2241786735
211	0.2241786559
212	0.2241105438
213	0.2240538402
214	0.2240252262
215	0.2239890053
216	0.2236392533
217	0.2236258395
218	0.2234687113
219	0.2232964777
220	0.223160536
221	0.2230459305
222	0.2230458154
