iter	Passed	Remaining
0	3	75308
1	6	64976
2	9	60633
3	11	58831
4	13	55460
5	17	56675
6	19	56411
7	22	56382
8	24	55385
9	27	55250
10	31	56502
11	33	56621
12	36	56354
13	38	55469
14	41	55530
15	44	55104
16	47	56004
17	50	56398
18	53	56569
19	57	57020
20	60	57576
21	64	58162
22	66	57855
23	69	57922
24	74	59419
25	77	59728
26	80	59535
27	82	58747
28	84	58354
29	87	58191
30	90	58389
31	93	58608
32	97	58785
33	99	58415
34	102	58192
35	104	58094
36	107	58152
37	111	58552
38	114	58373
39	116	57994
40	118	57639
41	121	57923
42	124	57807
43	126	57476
44	129	57317
45	131	57161
46	134	57206
47	137	57291
48	140	57140
49	142	56991
50	145	56954
51	148	57074
52	152	57455
53	154	57251
54	157	57183
55	160	57036
56	163	57116
57	166	57226
58	169	57276
59	172	57233
60	174	57076
61	177	57210
62	182	57901
63	185	57876
64	188	57777
65	191	57689
66	193	57601
67	196	57644
68	199	57521
69	202	57534
70	204	57332
71	206	57173
72	210	57473
73	212	57255
74	215	57138
75	217	56890
76	219	56732
77	221	56631
78	225	56835
79	228	56802
80	230	56587
81	232	56405
82	234	56296
83	236	56068
84	239	56092
85	242	56078
86	244	55927
87	246	55875
88	249	55746
89	251	55711
90	254	55636
91	257	55619
92	260	55711
93	263	55694
94	265	55559
95	267	55538
96	271	55616
97	273	55569
98	275	55461
99	277	55260
100	280	55297
101	284	55412
102	287	55450
103	289	55450
104	292	55454
105	295	55453
106	299	55615
107	301	55623
108	304	55644
109	307	55589
110	310	55654
111	313	55647
112	316	55690
113	318	55636
114	321	55558
115	323	55534
116	326	55496
117	329	55569
118	332	55532
119	334	55459
120	337	55395
121	339	55377
122	344	55598
123	347	55712
124	350	55729
125	353	55708
126	356	55712
127	359	55763
128	361	55761
129	363	55623
130	366	55565
131	368	55474
132	370	55332
133	373	55376
134	376	55374
135	379	55385
136	381	55352
137	384	55313
138	387	55297
139	390	55342
140	392	55241
141	394	55164
142	396	55120
143	399	55025
144	401	55015
145	405	55108
146	407	55066
147	410	55023
148	412	54981
149	414	54902
150	417	54877
151	420	54853
152	422	54747
153	424	54742
154	427	54751
155	430	54733
156	433	54801
157	436	54759
158	438	54722
159	441	54692
160	443	54683
161	446	54649
162	448	54633
163	451	54652
164	454	54690
165	457	54659
166	459	54622
167	462	54650
168	465	54622
169	467	54561
170	470	54519
171	472	54476
172	475	54456
173	478	54492
174	481	54505
175	483	54477
176	485	54419
177	488	54359
178	490	54315
179	493	54329
180	496	54358
181	498	54254
182	500	54239
183	503	54194
184	505	54160
185	508	54219
186	511	54221
187	514	54216
188	516	54172
189	519	54144
190	521	54101
191	524	54140
192	527	54164
193	533	54493
194	536	54496
195	540	54599
196	542	54551
197	545	54540
198	547	54507
199	550	54461
200	552	54457
201	555	54448
202	558	54462
203	561	54450
204	563	54419
205	566	54391
206	569	54440
207	572	54448
208	574	54417
209	576	54349
210	579	54368
211	581	54312
212	585	54357
213	587	54353
214	590	54334
215	592	54311
216	595	54288
217	598	54289
218	601	54294
219	604	54315
220	606	54290
221	609	54283
222	612	54281
